"Site","Aspect","Slope","severity","aspen","distance.pre","distance.post","distance.high","elevation","ppt","ppt.111212345","ppt.678910","tmean","tmin1","tmax7","tmax.678910","ppt.2021","ppt.111212345.2021","ppt.678910.2021","tmax.678910.2021","ppt.2022","ppt.111212345.2022","ppt.678910.2022","tmax.678910.2022","bb.presence","bb.severity","Longitude","Latitude","FoldedAspect","PotentialDirRad","HeatLoad"
2,169,8,3,0,248.39485168457,349.284973144531,94.8683319091797,2514.7119140625,459.457000732422,250.248497009277,204.181095123291,5.10999965667725,1.24459993839264,25.1571998596191,20.4772796630859,452.648101806641,300.204188346863,152.721598148346,21.8792791366577,412.063201904297,215.002694129944,183.78319644928,21.7921394348145,NA,NA,-105.529769339137,40.6161287316818,124,-0.373052137963332,0.688629328177304
3,12,10,4,0,358.050262451172,358.050262451172,84.8528137207031,2550.5517578125,459.457000732422,250.248497009277,204.181095123291,5.10999965667725,1.24459993839264,25.1571998596191,20.4772796630859,452.648101806641,300.204188346863,152.721598148346,21.8792791366577,412.063201904297,215.002694129944,183.78319644928,21.7921394348145,0,67,-105.53398597658,40.6156498653576,33,-0.206328747398159,0.813565574749183
4,84,7,4,0,414.004821777344,721.110229492188,42.4264068603516,2858.67846679688,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,1,65,-105.856018960989,40.5957305936266,39,-0.255908956031116,0.774212452958097
5,75,5,4,0,393.954315185547,605.392395019531,30,2821.47338867188,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,1,63,-105.855099169886,40.5949626571476,30,-0.350564643647474,0.704290304379455
6,173,6,4,0,256.124969482422,541.202331542969,84.8528137207031,2832.73291015625,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,1,69,-105.855069105693,40.5935304934271,128,-0.173676949899013,0.840568399508068
7,30,7,4,0,143.17822265625,200.997497558594,189.736663818359,2706.87646484375,488.333984375,508.55578994751,242.470096588135,2.55999994277954,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,1,55,-105.862407734531,40.644987552724,15,-0.157823688605157,0.85400033868657
8,340,9,4,0,63.2455520629883,63.2455520629883,60,2730.2685546875,545.655883789062,508.55578994751,242.470096588135,2.80999994277954,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,1,71,-105.863878506168,40.6434811247038,65,-0.143611494865135,0.866224215250927
9,66,10,4,0,348.281494140625,348.281494140625,123.693168640137,2865.51245117188,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,46,-105.854193221358,40.5887803680788,21,-0.132472600522602,0.875926933717636
10,330,8,4,0,210.23796081543,210.23796081543,60,2896.95703125,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,25,-105.85638730698,40.5884758422149,75,-0.458995818041214,0.631917887548532
11,92,10,4,0,80.6225738525391,782.943176269531,301.496246337891,2898.95922851562,584.245971679688,545.599395751953,258.86499786377,1.77999997138977,-3.32529997825623,20.9001998901367,16.3297595977783,811.092468261719,510.032283782959,230.773792266846,17.301619720459,795.9140625,589.358283996582,204.280193328857,17.2976194381714,0,10,-105.861315660399,40.5931327412691,47,-0.132352012586877,0.876032566307299
