"","severity","aspen","distance.pre","distance.post","distance.high","elevation","ppt","tmean","tmin","tmax","ppt.2021","ppt.2022"
"1",1,0,230.21728515625,230.21728515625,0,2752.4951171875,386.147003173828,4.1100001335144,-10.2537994384766,24.1844997406006,405.794189453125,353.034484863281
"2",4,0,162.788208007812,162.788208007812,94.8683319091797,2822.29663085938,473.011993408203,2.24000000953674,-13.0796995162964,22.6168003082275,451.230102539062,417.396179199219
"3",4,0,22.3606796264648,385.875610351562,169.705627441406,2859.95922851562,522.034973144531,3.43999981880188,-11.069299697876,23.2834987640381,549.3369140625,489.316284179688
"4",2,0,481.663787841797,771.038269042969,0,2776.47387695312,407.963989257812,2.50989985466003,-11.9383993148804,22.5345001220703,431.540679931641,390.792785644531
"5",3,0,22.3606796264648,189.73664855957,30,2472.06079101562,594.614990234375,5.0499997138977,-9.13220024108887,24.8440990447998,625.764709472656,564.235656738281
"6",1,0,41.2310562133789,41.2310562133789,0,3076.67407226562,914.29296875,1.07999992370605,-13.4124994277954,20.8495998382568,811.092468261719,795.9140625
"7",1,0,723.4638671875,723.4638671875,0,1794.02404785156,475.238983154297,8.98999977111816,-7.96989965438843,29.4960994720459,425.243194580078,343.420776367188
"8",4,0,138.924438476562,143.17822265625,123.693168640137,2442.64672851562,512.373962402344,6.46999979019165,-7.85809993743896,25.4277992248535,579.954406738281,530.317260742188
"9",4,0,313.049530029297,313.049530029297,150,3014.822265625,771.535888671875,0.239999994635582,-15.9455995559692,21.0226993560791,869.982849121094,775.632568359375
"10",3,0,200,206.1552734375,123.693168640137,2668.388671875,529.838012695312,5.26989984512329,-9.11600017547607,24.4729995727539,527.951599121094,451.535400390625
"11",3,0,89.4427185058594,240.831893920898,30,2763.91455078125,551.029968261719,4.21999979019165,-10.4003000259399,23.4476985931396,500.500091552734,479.917877197266
"12",2,0,192.35383605957,192.35383605957,0,2516.46826171875,409.579986572266,5.44999980926514,-8.96150016784668,25.5860996246338,397.981597900391,338.804595947266
"13",1,0,193.132080078125,193.132080078125,0,1998.55053710938,447.948974609375,8.75,-6.65030002593994,28.3334999084473,433.065979003906,368.165985107422
"14",3,0,788.479553222656,795.550170898438,42.4264068603516,3006.13647460938,641.860961914062,1.61000001430511,-12.9516000747681,21.6765995025635,722.501770019531,707.290283203125
"15",4,0,276.586334228516,276.586334228516,94.8683319091797,2329.65478515625,497.914978027344,6.82999992370605,-7.91849994659424,26.7299995422363,515.26220703125,447.313293457031
"16",4,0,138.924438476562,138.924438476562,120,2703.56567382812,536.768981933594,4.48999977111816,-9.62169933319092,24.2945995330811,549.3369140625,489.316284179688
"17",4,0,170.880065917969,240.208251953125,169.705627441406,3071.5830078125,577.531982421875,1.33999991416931,-13.1210994720459,21.1530990600586,563.13330078125,533.375
"18",4,0,174.642486572266,259.615112304688,150,2441.83251953125,435.957977294922,5.34999990463257,-9.00920009613037,25.4314002990723,414.816986083984,381.8798828125
"19",4,0,92.195442199707,92.195442199707,42.4264068603516,2452.08227539062,517.237976074219,6.32999992370605,-8.00160026550293,25.3275985717773,527.951599121094,451.535400390625
"20",1,0,10,10,0,2548.96069335938,487.14697265625,4.73999977111816,-9.51079940795898,24.8453998565674,549.3369140625,489.316284179688
"21",3,0,206.1552734375,380,30,3279.42456054688,811.568969726562,0.539999961853027,-13.8294992446899,19.7560997009277,836.643249511719,827.784851074219
"22",4,0,164.924224853516,164.924224853516,42.4264068603516,2990.0712890625,513.899963378906,1.88999998569489,-12.6428995132446,22.0208988189697,445.48388671875,383.910186767578
"23",2,0,123.693168640137,123.693168640137,0,2615.150390625,474.194976806641,4.44000005722046,-9.7564001083374,24.4188995361328,441.697875976562,404.774200439453
"24",3,0,221.359436035156,398.120574951172,180,2562.49755859375,458.996978759766,4.82999992370605,-9.45409965515137,24.9549999237061,452.648101806641,412.063201904297
"25",4,0,361.247833251953,1285.49609375,540.832641601562,3100.5380859375,641.469970703125,1.04999995231628,-13.8617000579834,21.1421985626221,700.344299316406,667.737854003906
"26",1,0,190.262985229492,190.262985229492,0,3238.0126953125,912.763977050781,0.0599999986588955,-14.7664995193481,19.5527992248535,991.291381835938,950.748962402344
"27",4,0,551.724609375,551.724609375,42.4264068603516,3056.63452148438,722.117980957031,1.00999999046326,-13.4441995620728,20.7544994354248,597.618957519531,576.169311523438
"28",2,0,116.619033813477,424.852905273438,0,2393.12280273438,370.809997558594,5.46999979019165,-9.08329963684082,25.7017002105713,397.981597900391,338.804595947266
"29",3,0,20,50,30,2313.56713867188,497.065002441406,6.89999961853027,-7.71770000457764,26.3692989349365,457.842987060547,385.970489501953
"30",4,0,114.017547607422,191.049728393555,108.166534423828,2686.7890625,511.948974609375,4.27999973297119,-9.91609954833984,24.3351001739502,507.929779052734,464.253875732422
