"","severity","aspen","seedsource.dist","distance.pre","distance.post","distance.high","elevation","ppt","ppt.111212345","ppt.678910","tmean","tmin1","tmax7","tmax.678910","ppt.2021","ppt.111212345.2021","ppt.678910.2021","tmax.678910.2021","ppt.2022","ppt.111212345.2022","ppt.678910.2022","tmax.678910.2022","bb.presence","bb.severity"
"1",1,0,0,187.882934570312,187.882934570312,0,3271.7119140625,833.995971679688,527.594680786133,253.726192474365,0.489999979734421,-3.55320000648499,20.1054000854492,15.6049996376038,836.643249511719,506.472381591797,232.435091018677,16.7124995231628,827.784851074219,615.747383117676,210.49899482727,16.5273796081543,0,12
"2",1,0,0,291.547607421875,291.547607421875,0,3303.69775390625,1065.98303222656,771.123687744141,296.620891571045,-0.459999978542328,-5.39099979400635,17.9676990509033,13.6292995452881,1172.72521972656,774.556488037109,282.362596511841,14.5038596153259,1069.50549316406,846.114082336426,232.991798400879,14.408439540863,NA,NA
"3",3,0,30,251.793579101562,251.793579101562,30,2907.78881835938,488.712982177734,316.40909576416,188.3078956604,2.34999990463257,-2.07990002632141,22.3277988433838,17.6811794281006,506.489990234375,332.583200454712,159.967796325684,18.7599395751953,480.874389648438,320.275691986084,147.019394874573,18.7773797988892,1,31
"4",3,0,30,30,30,30,2440.68872070312,421.739990234375,234.004400253296,192.702297210693,5.33999967575073,1.71369993686676,25.4449996948242,20.742879486084,414.816986083984,288.976999282837,128.575396776199,22.1955394744873,381.8798828125,193.151495933533,174.443096160889,22.119259262085,NA,NA
"5",3,0,152.970581054688,58.3095169067383,246.981781005859,152.970581054688,2639.580078125,384.763000488281,263.181196212769,166.975896835327,5.06999969482422,-0.836999952793121,23.3668994903564,18.6919193267822,445.48388671875,317.317498207092,124.228400230408,19.9515794754028,383.910186767578,232.384292602539,145.496598243713,19.8536590576172,0,29
"6",2,0,0,120,136.014709472656,0,2838.32006835938,450.099975585938,221.44289970398,182.659296035767,3,0.148699998855591,24.2141990661621,19.5454795837402,414.245574951172,273.458394050598,133.18359375,20.9167989730835,352.633697509766,193.534094810486,154.385191917419,20.8538795471191,1,65
"7",4,0,445.982055664062,101.980392456055,744.043029785156,445.982055664062,2757.591796875,522.627990722656,276.015092849731,214.630699157715,3.54999995231628,0.497599989175797,24.5241985321045,19.8529792785645,507.929779052734,324.425185203552,175.020394325256,21.1658798217773,464.253875732422,260.420997619629,194.475998878479,21.1025392532349,0,34
"8",4,0,254.55842590332,280,496.789703369141,254.55842590332,3164.23876953125,781.614990234375,508.55578994751,242.470096588135,0.25,-3.43069982528687,20.5845985412598,16.0407196044922,748.584106445312,473.024990081787,222.22579574585,17.0205194473267,737.586608886719,538.22278213501,191.547798156738,17.0094795227051,0,55
"9",3,0,67.0820388793945,120,162.788208007812,67.0820388793945,2462.51342773438,522.251892089844,282.885591506958,256.882995605469,6.08999967575073,2.394700050354,24.548999786377,20.0280195236206,579.954406738281,378.356397628784,206.082392215729,21.2981199264526,530.317260742188,240.228096485138,270.690691947937,21.2568391799927,1,73
"10",1,0,0,596.405883789062,596.405883789062,0,2082.11474609375,459.178985595703,231.250098228455,225.204397201538,8.55999946594238,6.15420007705688,28.5640983581543,24.0217988967896,431.379089355469,326.859300613403,120.439398765564,25.4966190338135,350.339080810547,168.521995306015,148.994296073914,25.4971195220947,NA,NA
"11",2,0,0,80.6225738525391,104.40306854248,0,2482.78637695312,432.213989257812,217.850296974182,177.480697631836,4.42000007629395,1.34029996395111,25.1691989898682,20.4871793746948,397.981597900391,275.51978969574,123.479498386383,21.9873998641968,338.804595947266,177.89289188385,151.038595199585,21.9020599365234,0,11
"12",3,0,60,14.1421356201172,50,60,2885.43017578125,584.153015136719,282.885591506958,256.882995605469,3.20999979972839,2.394700050354,24.548999786377,20.0280195236206,579.954406738281,378.356397628784,206.082392215729,21.2981199264526,530.317260742188,240.228096485138,270.690691947937,21.2568391799927,1,73
"13",4,0,60,722.011108398438,722.011108398438,60,3119.73754882812,722.117980957031,376.695194244385,209.678497314453,1.00999999046326,-2.2853000164032,22.0564994812012,17.4662998199463,597.618957519531,375.085800170898,187.512496948242,18.5005796432495,576.169311523438,405.570184707642,162.501495361328,18.452099609375,NA,NA
"14",4,0,361.247833251953,303.64453125,366.196655273438,361.247833251953,2854.44580078125,516.239013671875,357.774097442627,211.885692596436,2.8199999332428,-2.21179986000061,22.0767002105713,17.461619758606,626.172912597656,391.669290542603,185.570695877075,18.8057598114014,584.702209472656,397.66478729248,188.70579624176,18.551699256897,0,12
"15",2,0,0,378.021179199219,378.021179199219,0,2581.88159179688,386.147003173828,209.548099517822,183.689296722412,4.1100001335144,0.063400000333786,24.263599395752,19.602819442749,405.794189453125,254.468096733093,139.128700256348,21.0268993377686,353.034484863281,198.046495437622,156.853398323059,20.9531192779541,NA,NA
"16",4,0,42.4264068603516,771.038269042969,771.038269042969,42.4264068603516,2369.12890625,391.723999023438,217.850296974182,177.480697631836,5.09999990463257,1.34029996395111,25.1691989898682,20.4871793746948,397.981597900391,275.51978969574,123.479498386383,21.9873998641968,338.804595947266,177.89289188385,151.038595199585,21.9020599365234,NA,NA
"17",4,0,67.0820388793945,106.301460266113,383.275390625,67.0820388793945,2720.89624023438,457.061981201172,296.313793182373,197.445598602295,3.59999990463257,-1.79549992084503,22.6407985687256,17.9804796218872,500.984100341797,314.812791824341,161.117794036865,19.0995391845703,468.112396240234,304.791589736938,163.16179561615,19.0584594726562,1,65
"18",3,0,30,94.3398132324219,742.495788574219,30,3297.78735351562,749.477905273438,498.911098480225,254.402996063232,0.5799999833107,-3.6275999546051,19.6075000762939,15.1515593528748,840.832580566406,497.467395782471,236.898090362549,16.3861194610596,849.466491699219,622.53369140625,227.546699523926,16.0561999320984,0,34
"19",4,0,84.8528137207031,368.781768798828,451.220550537109,84.8528137207031,2951.78198242188,666.945983886719,330.849393844604,269.4508934021,2.23000001907349,0.340700000524521,23.603199005127,19.0324794769287,625.764709472656,387.171993255615,217.590090751648,20.276139831543,564.235656738281,328.693592071533,238.719497680664,20.2167194366455,0,70
"20",4,0,67.0820388793945,90,194.164886474609,67.0820388793945,2882.71557617188,595.511901855469,296.922695159912,259.098297119141,3.50999999046326,1.56699991226196,24.2171993255615,19.6450393676758,581.781188964844,383.122299194336,196.492593765259,20.916379737854,507.327575683594,253.442395210266,241.013796806335,20.9034996032715,1,76
"21",1,0,0,40,40,0,2652.71118164062,398.039001464844,263.181196212769,166.975896835327,3.82999992370605,-0.836999952793121,23.3668994903564,18.6919193267822,445.48388671875,317.317498207092,124.228400230408,19.9515794754028,383.910186767578,232.384292602539,145.496598243713,19.8536590576172,NA,NA
"22",4,0,150,320.156219482422,320.156219482422,150,3208.36547851562,884.423950195312,655.724090576172,275.381992340088,0.5799999833107,-4.52769994735718,19.0222988128662,14.6189195632935,1010.09289550781,647.538688659668,265.625791549683,15.4785396575928,923.576477050781,712.998485565186,214.961591720581,15.440699672699,NA,NA
"23",2,0,0,228.254241943359,228.254241943359,0,2006.39379882812,462.330993652344,233.870396614075,232.366500854492,8.61989974975586,5.47119998931885,27.3101997375488,22.8023794174194,434.2626953125,327.657589912415,126.175796031952,24.2807991027832,350.807983398438,166.557696580887,154.779796600342,24.3168395996094,NA,NA
"24",3,0,60,181.107711791992,827.345092773438,60,2750.01928710938,400.483001708984,263.181196212769,166.975896835327,4.01989984512329,-0.836999952793121,23.3668994903564,18.6919193267822,445.48388671875,317.317498207092,124.228400230408,19.9515794754028,383.910186767578,232.384292602539,145.496598243713,19.8536590576172,1,72
"25",2,1,0,0,0,0,2540.01123046875,548.393005371094,296.922695159912,259.098297119141,5.19999980926514,1.56699991226196,24.2171993255615,19.6450393676758,581.781188964844,383.122299194336,196.492593765259,20.916379737854,507.327575683594,253.442395210266,241.013796806335,20.9034996032715,0,18
"26",4,0,216.333068847656,41.2310562133789,260.768096923828,216.333068847656,3116.93603515625,849.408996582031,655.724090576172,275.381992340088,0.370000004768372,-4.52769994735718,19.0222988128662,14.6189195632935,1010.09289550781,647.538688659668,265.625791549683,15.4785396575928,923.576477050781,712.998485565186,214.961591720581,15.440699672699,NA,NA
"27",2,0,0,1008.95989990234,1032.37585449219,0,3305.87060546875,797.151977539062,520.863784790039,252.696296691895,-0.159999996423721,-3.48159980773926,20.6906986236572,16.1456993103027,811.904663085938,501.243392944336,237.737689971924,17.1312995910645,750.796875,561.593585968018,187.37459564209,17.1244398117065,0,62
"28",3,0,108.166534423828,50,98.4885787963867,108.166534423828,2543.1923828125,515.60791015625,267.800592422485,244.273193359375,6.06999969482422,3.18349981307983,25.452299118042,20.8853393554688,527.951599121094,363.24709892273,170.814393043518,22.2963394165039,451.535400390625,201.247592449188,224.14059638977,22.2736396789551,NA,NA
"29",4,0,510.881591796875,136.014709472656,523.450073242188,510.881591796875,2692.27807617188,596.140991210938,330.849393844604,269.4508934021,4.52999973297119,0.340700000524521,23.603199005127,19.0324794769287,625.764709472656,387.171993255615,217.590090751648,20.276139831543,564.235656738281,328.693592071533,238.719497680664,20.2167194366455,0,41
"30",3,0,240,225.610275268555,225.610275268555,240,2638.51513671875,487.160980224609,276.015092849731,214.630699157715,4.53999996185303,0.497599989175797,24.5241985321045,19.8529792785645,507.929779052734,324.425185203552,175.020394325256,21.1658798217773,464.253875732422,260.420997619629,194.475998878479,21.1025392532349,NA,NA
"31",1,0,0,853.756408691406,1023.57214355469,0,1758.99621582031,450.928985595703,225.201594352722,225.42259979248,8.7898998260498,5.75209999084473,29.2199993133545,24.685079574585,394.064300537109,307.91749382019,107.420699596405,26.2797393798828,324.555389404297,154.538694500923,142.312096595764,26.3402992248535,NA,NA
"32",4,0,456.946380615234,278.028778076172,934.077087402344,456.946380615234,2830.22778320312,502.879974365234,274.874696731567,195.81859588623,2.54999995231628,-0.533899962902069,23.687198638916,19.0117992401123,492.351593017578,324.940689086914,156.969194412231,20.3482191085815,440.386383056641,256.384189605713,178.545897483826,20.2098997116089,1,61
"33",4,0,67.0820388793945,302.654907226562,941.116333007812,67.0820388793945,2883.20361328125,423.517974853516,234.675994873047,186.987197875977,2.57999992370605,-0.0274999998509884,24.1847991943359,19.5485597610474,431.540679931641,269.400595664978,144.438795089722,20.9239395141602,390.792785644531,235.41459274292,157.589299201965,20.8453592300415,1,67
"34",3,0,30,76.1577301025391,131.52946472168,30,3020.31811523438,563.786987304688,296.313793182373,197.445598602295,1.39999997615814,-1.79549992084503,22.6407985687256,17.9804796218872,500.984100341797,314.812791824341,161.117794036865,19.0995391845703,468.112396240234,304.791589736938,163.16179561615,19.0584594726562,1,56
"35",2,0,0,141.421356201172,192.35383605957,0,2428.560546875,507.009979248047,267.800592422485,244.273193359375,6.34999990463257,3.18349981307983,25.452299118042,20.8853393554688,527.951599121094,363.24709892273,170.814393043518,22.2963394165039,451.535400390625,201.247592449188,224.14059638977,22.2736396789551,0,51
"36",1,0,0,94.3398132324219,94.3398132324219,0,1678.662109375,436.753997802734,222.047397613525,212.184997558594,9.13000011444092,6.04379987716675,30.2584991455078,25.6800189971924,405.578186035156,320.163589477539,101.795797109604,27.2736194610596,334.303588867188,167.668900251389,133.348294258118,27.2403987884521,NA,NA
"37",1,0,0,730.068481445312,730.068481445312,0,2035.08947753906,452.576995849609,226.589396476746,225.106397628784,8.22000026702881,5.64989995956421,27.941198348999,23.3897790908813,433.065979003906,315.240692138672,135.390996932983,24.850199508667,368.165985107422,172.785197257996,160.360998153687,24.8457794189453,NA,NA
"38",4,0,192.093734741211,50.9901962280273,210.23796081543,192.093734741211,2763.87963867188,486.832000732422,357.774097442627,211.885692596436,3.35999989509583,-2.21179986000061,22.0767002105713,17.461619758606,626.172912597656,391.669290542603,185.570695877075,18.8057598114014,584.702209472656,397.66478729248,188.70579624176,18.551699256897,0,29
"39",4,0,271.661560058594,174.928558349609,316.227752685547,271.661560058594,2952.76831054688,627.544982910156,325.683595657349,271.413593292236,3.37999987602234,0.514299988746643,23.1404991149902,18.6146196365356,639.723510742188,405.631284713745,223.719198226929,19.7907794952393,571.860778808594,317.142896652222,261.315393447876,19.7229797363281,0,47
"40",3,0,360,630.079345703125,630.079345703125,360,3267.2685546875,856.074951171875,655.724090576172,275.381992340088,0.429999977350235,-4.52769994735718,19.0222988128662,14.6189195632935,1010.09289550781,647.538688659668,265.625791549683,15.4785396575928,923.576477050781,712.998485565186,214.961591720581,15.440699672699,NA,NA
"41",2,0,0,270,488.26220703125,0,2667.744140625,367.815002441406,209.548099517822,183.689296722412,4.07999992370605,0.063400000333786,24.263599395752,19.602819442749,405.794189453125,254.468096733093,139.128700256348,21.0268993377686,353.034484863281,198.046495437622,156.853398323059,20.9531192779541,0,21
"42",4,0,94.8683319091797,208.086532592773,1117.72082519531,94.8683319091797,2781.97192382812,444.129974365234,303.448196411133,187.412998199463,3.39999985694885,-1.61559998989105,22.6861991882324,18.0338396072388,516.11669921875,339.920490264893,154.801494598389,19.255019569397,457.376586914062,292.081594467163,159.656394958496,19.1417594909668,0,37
