"Site","Transect","Subplot","ABLA","PICO","PIEN","PIPO","PSME","POTR5.sucker","POTR5.seedling","Conifer"
"2","A","2-4",0,0,0,0,0,0,0,0
"2","A","4-6",0,0,0,0,0,0,0,0
"2","A","6-8",0,0,0,0,0,0,0,0
"2","A","8-10",0,0,0,0,0,0,0,0
"2","A","10-12",0,0,0,0,0,0,0,0
"2","A","12-14",0,0,0,0,0,0,0,0
"2","A","0-2",0,0,0,1,0,0,0,1
"2","A","14-16",0,0,0,0,0,0,0,0
"2","A","16-18",0,0,0,0,0,0,0,0
"2","A","18-20",0,0,0,0,0,0,0,0
"2","A","21-22",0,0,0,0,0,0,0,0
"2","A","22-24",0,0,0,0,0,0,0,0
"2","A","24-26",0,0,0,0,0,0,0,0
"2","A","26-28",0,0,0,0,0,0,0,0
"2","A","28-30",0,0,0,0,0,0,0,0
"2","A","30-32",0,0,0,0,0,0,0,0
"2","A","32-34",0,0,0,0,0,0,0,0
"2","A","34-36",0,0,0,0,0,0,0,0
"2","A","36-38",0,0,0,0,0,0,0,0
"2","A","38-40",0,0,0,0,0,0,0,0
"2","A","40-42",0,0,0,0,0,0,0,0
"2","A","42-44",0,0,0,0,0,0,0,0
"2","A","44-46",0,0,0,0,0,0,0,0
"2","A","46-48",0,0,0,0,0,0,0,0
"2","A","48-50",0,0,0,0,0,0,0,0
"2","B","2-4",0,0,0,3,0,0,0,3
"2","B","4-6",0,0,0,0,0,0,0,0
"2","B","6-8",0,0,0,0,0,0,0,0
"2","B","8-10",0,0,0,0,0,0,0,0
"2","B","10-12",0,0,0,0,0,0,0,0
"2","B","12-14",0,0,0,0,0,0,0,0
"2","B","0-2",0,0,0,0,0,0,0,0
"2","B","14-16",0,0,0,0,0,0,0,0
"2","B","16-18",0,0,0,0,0,0,0,0
"2","B","18-20",0,0,0,1,0,0,0,1
"2","B","21-22",0,0,0,0,0,0,0,0
"2","B","22-24",0,0,0,0,0,0,0,0
"2","B","26-28",0,0,0,0,0,0,0,0
"2","B","28-30",0,0,0,0,0,0,0,0
